HIA_TPSA,HIA_WLOGP,BBB_TPSA,BBB_WLOGP
97.81,-2.23,40.97,0.41
101.88,-2.19,43.53,0.42
105.84,-2.14,46.08,0.44
109.65,-2.06,48.59,0.47
113.32,-1.97,51.06,0.51
116.82,-1.87,53.48,0.57
120.13,-1.74,55.83,0.63
123.26,-1.61,58.12,0.71
126.17,-1.45,60.33,0.79
128.87,-1.28,62.45,0.88
131.35,-1.1,64.47,0.99
133.58,-0.9,66.39,1.1
135.57,-0.7,68.2,1.22
137.3,-0.47,69.89,1.34
138.77,-0.24,71.45,1.48
139.97,0,72.89,1.62
140.9,0.25,74.18,1.77
141.56,0.51,75.33,1.92
141.93,0.77,76.34,2.08
142.03,1.05,77.19,2.24
141.85,1.32,77.89,2.41
141.38,1.6,78.43,2.57
140.64,1.89,78.82,2.75
139.63,2.17,79.04,2.92
138.34,2.46,79.1,3.09
136.79,2.74,79,3.27
134.98,3.03,78.73,3.44
132.92,3.31,78.31,3.62
130.61,3.58,77.73,3.79
128.06,3.85,76.99,3.96
125.3,4.12,76.1,4.12
122.31,4.38,75.06,4.29
119.13,4.62,73.87,4.44
115.76,4.87,72.54,4.6
112.2,5.1,71.07,4.74
108.49,5.31,69.48,4.89
104.63,5.52,67.76,5.02
100.64,5.72,65.92,5.15
96.52,5.9,63.97,5.27
92.31,6.06,61.92,5.38
88.02,6.22,59.78,5.48
83.66,6.35,57.55,5.58
79.24,6.47,55.24,5.66
74.8,6.58,52.87,5.73
70.34,6.66,50.44,5.8
65.88,6.73,47.96,5.85
61.45,6.79,45.44,5.9
57.05,6.82,42.89,5.93
52.7,6.84,40.32,5.95
48.43,6.84,37.74,5.96
44.25,6.82,35.17,5.96
40.17,6.78,32.6,5.95
36.22,6.72,30.06,5.93
32.4,6.65,27.55,5.9
28.74,6.56,25.08,5.86
25.24,6.46,22.66,5.8
21.92,6.33,20.3,5.74
18.8,6.2,18.02,5.66
15.88,6.04,15.81,5.58
13.18,5.87,13.69,5.49
10.71,5.69,11.66,5.38
8.48,5.49,9.74,5.27
6.49,5.28,7.94,5.15
4.76,5.06,6.25,5.03
3.29,4.83,4.68,4.89
2.08,4.59,3.25,4.75
1.15,4.34,1.96,4.6
0.5,4.08,0.8,4.45
0.12,3.81,-0.2,4.29
0.02,3.54,-1.05,4.13
0.21,3.27,-1.75,3.96
0.67,2.99,-2.3,3.79
1.41,2.7,-2.68,3.62
2.43,2.42,-2.9,3.45
3.71,2.13,-2.96,3.28
5.26,1.85,-2.86,3.1
7.08,1.56,-2.6,2.93
9.14,1.28,-2.17,2.75
11.45,1.01,-1.59,2.58
13.99,0.74,-0.85,2.41
16.76,0.47,0.04,2.25
19.74,0.21,1.08,2.08
22.92,-0.04,2.27,1.93
26.3,-0.28,3.6,1.77
29.85,-0.51,5.07,1.63
33.56,-0.73,6.66,1.48
37.43,-0.93,8.38,1.35
41.42,-1.13,10.22,1.22
45.53,-1.31,12.17,1.1
49.74,-1.47,14.22,0.99
54.04,-1.63,16.36,0.89
58.4,-1.76,18.59,0.79
62.81,-1.88,20.89,0.71
67.26,-1.99,23.27,0.64
71.72,-2.07,25.7,0.57
76.17,-2.14,28.18,0.52
80.61,-2.2,30.7,0.47
85.01,-2.23,33.25,0.44
89.35,-2.25,35.82,0.42
93.62,-2.25,38.39,0.41
97.81,-2.23,40.97,0.41
